,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
29,T29,T32,Rory Sabbatini,71,1.7409999999999999,1386,796,32.29,100
30,T31,T32,Cody Gribble,52,1.742,897,515,31.84,207
31,T31,25,Denny McCarthy,63,1.742,1204,691,33.0,131
32,T31,26,Scott Piercy,70,1.742,1463,840,31.54,8
33,T31,20,Ollie Schniederjans,63,1.742,1193,685,31.67,184
34,T31,37,Nick Taylor,70,1.742,1352,776,31.35,T123
35,T36,T38,Kiradech Aphibarnrat,49,1.743,887,509,32.81,198
36,T36,T38,Sam Burns,66,1.743,1274,731,31.82,172
37,T38,T55,Jonas Blixt,66,1.744,1296,743,31.49,148
38,T38,T47,Adam Hadwin,66,1.744,1296,743,32.34,85
39,T38,T41,Beau Hossler,66,1.744,1364,782,32.05,108
40,T38,T38,Brandt Snedeker,68,1.744,1299,745,31.72,168
41,42,T41,Sebastián Muñoz,58,1.745,1171,671,31.54,86
42,T43,T64,Matt Kuchar,65,1.746,1320,756,32.67,3
43,T43,T44,Ryan Moore,54,1.746,1133,649,31.11,76
44,T43,T44,José de Jesús Rodríguez,51,1.746,1002,574,31.47,181
45,T43,T58,Webb Simpson,53,1.746,1060,607,31.68,65
46,T43,T32,Hudson Swafford,59,1.746,1196,685,30.06,77
47,T48,T72,Sungjae Im,88,1.7469999999999999,1782,1020,32.97,64
48,T48,T47,Ryan Palmer,56,1.7469999999999999,1141,653,33.54,18
49,T48,T47,Patrick Reed,53,1.7469999999999999,975,558,32.25,T143
50,T48,T47,Xander Schauffele,55,1.7469999999999999,1134,649,34.0,23
