,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
72,T72,T55,Cody Gribble,52,1.0,50,5.0
73,T72,T70,Kevin Kisner,65,1.0,40,4.0
74,T72,T70,Kevin Streelman,63,1.0,80,8.0
75,T72,999,Tyrone Van Aswegen,30,1.0,20,2.0
76,T77,T75,Sam Burns,66,0.98,51,5.0
77,T77,T75,Kyle Jones,49,0.98,41,4.0
78,T77,T75,Chez Reavie,67,0.98,41,4.0
79,T77,T83,Adam Schenk,80,0.98,61,6.0
80,81,T70,Sam Saunders,53,0.96,52,5.0
81,82,81,Hunter Mahan,45,0.94,32,3.0
82,83,82,Abraham Ancer,69,0.93,54,5.0
