,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
42,T42,43,Chris Stroud,54,174.1,81472200.0,130
43,44,34,Joey Garber,44,174.7,49066700.0,78
44,45,T46,Billy Horschel,73,175.1,91386100.0,145
45,46,58,José de Jesús Rodríguez,51,175.2,81342600.0,129
46,47,48,Chesson Hadley,58,175.4,90294900.0,143
47,48,T49,Kevin Na,54,175.5,78990500.0,125
48,T49,T60,David Hearn,41,175.6,46773200.0,74
49,T49,52,Michael Kim,51,175.6,69533600.0,110
50,51,999,Shane Lowry,30,175.7,48713400.0,77
51,52,53,Troy Merritt,42,175.8,89259100.0,141
52,T53,T54,Francesco Molinari,41,175.9,55091100.0,87
53,T53,T54,Pat Perez,52,175.9,59530000.0,94
54,T55,T62,Scott Brown,66,176.0,110241100.0,174
55,T55,T56,Stewart Cink,33,176.0,46261000.0,73
56,T55,T83,Russell Henley,56,176.0,91234400.0,144
57,T55,T56,Chez Reavie,67,176.0,93135900.0,147
58,59,59,J.T. Poston,76,176.2,142056500.0,224
59,60,T62,Michael Thompson,56,176.4,121265300.0,191
60,T61,T74,Anders Albertson,48,176.5,78156700.0,123
61,T61,T72,Sangmoon Bae,42,176.5,54645800.0,86
62,T63,44,Fabián Gómez,44,176.6,62298900.0,98
63,T63,T49,Mackenzie Hughes,58,176.6,87757200.0,138
64,T63,T36,Cameron Tringale,52,176.6,82661200.0,130
65,T66,T65,Matthew Fitzpatrick,42,176.7,62330700.0,98
