,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
83,T83,T88,Ollie Schniederjans,63,"24' 5""",562.1669999999999,23,+7
84,T83,T69,Webb Simpson,53,"24' 5""",440.167,18,E
85,T86,T91,Phil Mickelson,41,"24' 6""",783.5,32,E
86,T86,T98,Chris Stroud,54,"24' 6""",441.667,18,+3
87,88,75,J.J. Henry,42,"24' 7""",245.667,10,+3
88,89,T95,Martin Kaymer,38,"24' 8""",321.16700000000003,13,+2
89,90,97,Kevin Tway,62,"24' 9""",569.5830000000001,23,-4
90,T91,T98,Louis Oosthuizen,43,"24' 10""",149.167,6,E
91,T91,T47,D.J. Trahan,33,"24' 10""",373.083,15,+2
92,T91,T106,Harold Varner III,62,"24' 10""",397.083,16,-2
