,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
164,165,161,Brandon Harkins,67,4.69,32,682,+0.125
165,T166,141,Dustin Johnson,47,4.62,22,476,+0.045
166,T166,171,Nick Taylor,70,4.62,38,822,+0.053
167,168,164,Kyle Stanley,53,4.61,20,434,+0.200
168,169,169,Rory McIlroy,50,4.6,24,522,E
169,170,162,J.B. Holmes,54,4.59,18,392,+0.333
170,171,172,Ollie Schniederjans,63,4.57,30,656,+0.100
171,T172,176,Harold Varner III,62,4.56,33,724,+0.121
172,T172,166,Jhonattan Vegas,60,4.56,30,658,+0.033
173,174,167,Patrick Cantlay,49,4.55,21,462,-0.048
174,175,159,Brian Harman,67,4.53,31,684,+0.129
175,176,168,Sam Burns,66,4.52,34,752,+0.118
176,177,170,Sam Ryder,52,4.48,25,558,+0.160
177,178,163,Trey Mullinax,67,4.47,33,738,+0.152
178,179,T177,Sungjae Im,88,4.43,42,948,+0.190
179,180,173,Jordan Spieth,57,4.29,27,630,+0.222
180,181,175,Joel Dahmen,78,4.23,33,780,-0.030
181,182,T177,Hideki Matsuyama,59,4.15,25,602,+0.040
182,183,180,Kiradech Aphibarnrat,49,4.11,19,462,-0.105
183,184,183,Phil Mickelson,41,4.05,17,420,+0.353
184,185,182,J.J. Spaun,68,4.04,26,644,-0.038
185,186,184,Corey Conners,62,3.99,24,602,+0.250
186,187,190,Justin Thomas,49,3.96,19,480,+0.263
187,188,185,Alex Noren,49,3.9,18,462,-0.111
188,189,194,Adam Hadwin,66,3.89,25,642,+0.080
189,T190,181,Cameron Davis,54,3.88,20,516,+0.150
190,T190,179,Jim Knous,55,3.88,20,516,+0.200
191,T192,T187,Si Woo Kim,65,3.85,21,546,+0.095
192,T192,193,Ryan Palmer,56,3.85,21,546,E
193,T192,T187,Xander Schauffele,55,3.85,19,494,-0.105
194,195,192,Jon Rahm,51,3.68,17,462,-0.176
195,196,189,Brooks Koepka,49,3.54,15,424,E
196,197,197,Keith Mitchell,64,3.31,19,574,+0.368
197,198,206,José de Jesús Rodríguez,51,3.28,16,488,+0.188
198,T199,196,Matt Kuchar,65,3.25,22,676,+0.091
199,T199,195,Chris Thompson,34,3.25,10,308,E
200,201,198,Beau Hossler,66,3.23,23,712,+0.435
201,T202,T199,Abraham Ancer,69,3.21,22,686,+0.091
202,T202,T199,Haotong Li,32,3.21,9,280,E
203,204,201,Tony Finau,61,3.14,18,574,+0.111
204,205,203,Luke List,52,2.99,18,602,+0.056
205,206,202,Martin Trainer,51,2.87,16,558,+0.750
206,207,207,D.J. Trahan,33,2.63,7,266,E
207,208,204,James Hahn,34,2.52,6,238,+0.500
208,209,205,Aaron Wise,52,2.43,13,536,+0.385
