,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
195,T196,T191,Ben Silverman,17,98,21.0
196,T196,T191,D.J. Trahan,11,98,50.0
197,T198,T195,Austin Cook,17,96,17.0
198,T198,T195,Chesson Hadley,20,96,41.0
199,T198,T195,Danny Lee,20,96,29.0
200,T198,T195,Scott Vincent,2,96,96.0
201,202,199,Chris Stroud,19,95,12.0
202,T203,T200,K.J. Choi,7,94,59.0
203,T203,T200,Danny Willett,15,94,28.0
204,T205,T202,John Chin,14,93,6.0
205,T205,T202,Brandon Hagy,12,93,2.0
206,T205,T202,Hideki Matsuyama,15,93,8.0
207,T205,T202,"Ted Potter, Jr.",18,93,12.0
208,209,206,Xander Schauffele,15,92,26.0
209,210,207,Paul Casey,15,90,46.0
210,211,208,George McNeill,6,89,23.0
211,212,T295,Mike Weir,4,88,88.0
212,T213,T209,Satoshi Kodaira,16,87,15.0
213,T213,T209,Steve Marino,4,87,7.0
214,T213,T209,Grayson Murray,14,87,87.0
215,T213,T209,J.J. Spaun,20,87,38.0
216,T217,T213,Roberto Díaz,16,86,43.0
217,T217,T213,Jerry Kelly,2,86,3.0
218,T217,T213,Seth Reeves,18,86,5.0
219,T217,T213,Brendon Todd,7,86,
220,T221,T217,Jason Kokrak,17,85,18.0
221,T221,T217,Erik van Rooyen,4,85,
222,T223,T219,Freddie Jacobson,14,84,19.0
223,T223,T219,Scottie Scheffler,3,84,24.0
224,T223,T219,John Senden,13,84,18.0
225,T226,T223,Joey Garber,15,83,18.0
226,T226,T223,Davis Love III,9,83,8.0
227,T228,T225,John Catlin,5,82,11.0
228,T228,T225,Brooks Koepka,13,82,8.0
229,T228,T225,Rod Pampling,16,82,61.0
230,T228,T225,Bubba Watson,13,82,17.0
231,232,229,Norman Xiong,3,81,9.0
232,T233,T230,Chris Couch,2,80,80.0
233,T233,T230,Sepp Straka,16,80,1.0
234,T235,T232,Zack Fischer,2,79,24.0
235,T235,T232,Jonathan Kaye,2,79,24.0
236,T235,T232,Omar Uresti,2,79,79.0
237,T235,T232,Kristoffer Ventura,3,79,79.0
238,T239,T277,Padraig Harrington,7,78,20.0
239,T239,236,Takumi Kanaya,2,78,2.0
240,T241,237,J.B. Holmes,18,77,20.0
241,T241,T291,Drew Nesbitt,2,77,12.0
242,T243,T238,Haotong Li,9,76,5.0
243,T243,T238,Luke List,16,76,34.0
244,T243,T238,Adam Scott,12,76,27.0
245,T246,T242,Bronson Burgoon,14,75,32.0
246,T246,T242,Bryson DeChambeau,13,75,39.0
247,T246,T242,Austen Truslow,2,75,75.0
248,T249,T245,Derek Ernst,2,74,43.0
249,T249,T245,Phil Mickelson,13,74,55.0
250,T249,T245,Martin Piller,10,74,16.0
251,252,248,Dylan Meyer,3,73,18.0
252,T253,T249,Armando Favela,1,72,72.0
253,T253,T249,Seungsu Han,1,72,72.0
254,T253,T249,Lucas Herbert,1,72,72.0
255,T253,T249,Jazz Janewattananond,1,72,72.0
256,T253,T249,Will MacKenzie,5,72,26.0
257,T253,T249,Julio Santos,1,72,72.0
258,T253,T249,Andy Sullivan,1,72,72.0
259,T260,T256,Minchel Choi,2,70,39.0
260,T260,T256,Vijay Singh,6,70,5.0
261,T260,T256,Matthew Wolff,1,70,70.0
262,T263,T259,Viktor Hovland,4,69,
263,T263,T259,Andrea Pavan,1,69,2.0
264,T263,T259,Adam Svensson,18,69,1.0
265,T266,T262,Ross Fisher,1,68,68.0
266,T266,T262,Keith Mitchell,19,68,66.0
267,T266,T262,Pat Perez,16,68,2.0
268,T269,T265,Doug Ghim,6,67,38.0
269,T269,T265,Marty Jertson,1,67,4.0
270,T269,T265,David Lingmerth,9,67,48.0
271,T272,T268,Adam Bland,1,66,5.0
272,T272,T268,Sanghyun Park,4,66,11.0
273,T274,T270,Shintaro Ban,2,65,35.0
274,T274,T270,Sihwan Kim,2,65,15.0
275,T274,T270,Marc Leishman,14,65,25.0
276,T274,T270,Adrian Otaegui,3,65,65.0
277,T274,T270,Tim Wilkinson,1,65,2.0
278,T279,T275,Joost Luiten,4,64,64.0
279,T279,T275,Chip McDaniel,3,64,33.0
280,281,T277,D.A. Points,13,63,2.0
281,282,T333,Chad Collins,9,61,61.0
282,T283,T280,Ricky Barnes,8,60,60.0
283,T283,279,Jason Bohn,3,60,60.0
284,T285,T280,Nick Hardy,3,59,
285,T285,T280,David Toms,1,59,59.0
286,T287,T354,Zach Bauchou,2,58,13.0
287,T287,T291,Zack Sucher,3,58,31.0
288,T289,T283,George Coetzee,2,57,22.0
289,T289,T283,Dru Love,5,57,14.0
290,T289,T283,Alvaro Ortiz,4,57,2.0
